country_year	iso_code	country	year	co2_per_capita	Birth_rate	agriculture_land	agriculture_value_added	alternative_energy	arable_land	export	forest	fossil_fuel	gdp	industry	mortality	natural_resources	renewable_energy	unemployment	import
Albania - 2000	ALB	Albania	2000	0.96	16.436	41.7518248175182	24.5154120419235	19.6776985819479	21.0948905109489	20.1152855452625	28.0766423357664	58.7150980055366	1126.68334010717	19.3956891374484	27.2	1.09796102011767	41.4449996948242	16.58	43.3387875873655
Albania - 2001	ALB	Albania	2001	1.029	15.59	41.5693430656934	22.7161641958722	18.2950697995059	21.0948905109489	21.3334108322137	28.1232481751825	60.9558278415635	1281.6598256178	21.7357737789933	25.8	0.755950477951608	39.125301361084	16.54	45.1576132001299
Albania - 2002	ALB	Albania	2002	1.199	14.79	41.6058394160584	22.0251140879353	17.9367848951218	21.0948905109489	20.9456161731319	28.1698540145985	63.233130384996	1425.12421860142	23.10636959577	24.4	0.760798239531304	35.8958015441895	16.61	47.5794520503068
Albania - 2003	ALB	Albania	2003	1.357	14.048	40.9124087591241	21.9782570845961	18.7811504312036	21.0948905109489	20.8473864531722	28.2164598540146	64.5283712223687	1846.12012081207	24.055608509483	22.9	0.733194369383988	33.7517013549805	16.61	46.1731745895907
Albania - 2004	ALB	Albania	2004	1.322	13.381	40.9489051094891	20.537486307981	20.6821147015307	21.0948905109489	22.2175607600291	28.2630656934307	65.5782732614305	2373.58129170055	24.6655622675068	21.4	0.770849476407675	35.934700012207	16.52	44.8296265467915
Albania - 2005	ALB	Albania	2005	1.36	12.821	39.3065693430657	18.8453087247237	20.332063632114	19.6350364963504	23.0129911473171	28.3096715328467	66.4866805505628	2673.78658429559	25.0816065897088	20	1.0183823734434	36.8683013916016	16.4	47.85935562815
Albania - 2006	ALB	Albania	2006	1.255	12.398	40.8759124087591	17.7083536239523	14.0064471401355	21.3138686131387	25.2096077274316	28.3562773722628	64.4559899021893	2972.74292399799	25.3080259185205	18.5	1.32183144186644	31.7098999023438	16.17	49.0574825118736
Albania - 2007	ALB	Albania	2007	1.262	12.118	40.8394160583942	17.1536195739533	15.5496318593345	21.0948905109489	28.2478654166425	28.4028832116788	65.1223924710814	3595.03805682893	25.3403319220157	17.1	1.76108609247365	32.100399017334	15.97	54.95421468875059
Albania - 2008	ALB	Albania	2008	1.423	11.973	43.1021897810219	16.8370538440754	19.2688176765408	22.2627737226277	25.3024181160681	28.4494890510949	63.8471757910902	4370.5399247769	25.1610103305709	15.8	1.10999894994736	35.9118995666504	13.06	52.1493333802176
Albania - 2009	ALB	Albania	2009	1.431	11.945	43.8430656934307	16.7943836018798	21.8750151944777	22.2262773722628	25.2407486083138	28.4960948905109	63.4217264005157	4114.13489916342	24.4137783931968	14.5	0.605979694463314	37.2151985168457	13.67	49.8541657924919
Albania - 2010	ALB	Albania	2010	1.509	12.001	43.8430656934307	17.9558663972347	23.2821918775617	22.8467153284672	27.9794352415409	28.542700729927	63.2390037485134	4094.34838574494	24.9374619346668	13.2	1.57450582973465	37.1137008666992	14.09	48.5639550032469
Albania - 2011	ALB	Albania	2011	1.718	12.1	43.8321167883212	18.226789602529202	22.1093361945263	22.7007299270073	29.2415371390963	28.5946532846715	61.5027652749324	4437.14261222684	24.4844782196853	12.1	3.1788954930999	35.9611015319824	13.48	51.9770317939697
Algeria - 2000	DZA	Algeria	2000	2.649	19.554	16.8032614811021	8.39504849504573	0.0125864167147596	3.21697582439729	42.0697177213416	0.662960692602887	99.8150521253614	1765.02714611601	46.248515222696	39.7	24.3954281040246	0.42739999294281	29.77	20.7886259146931
