"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4764241744759","88.699785031557","86.245250129459","83.6428420448712","84.6355644478745","70.6728532748071","68.5481524585394","69.3812949640288","70.8678828081813","68.5635497618451","77.9482262703739","78.110599078341","76.7998290963469","78.1847781847782","76.2799016320143","77.5648516008413","83.7861524978089","82.4333259863346","85.3429686877605","84.6065800012219","72.9808028231601","70.4192881238253","71.2555732965576","74.6264053064053","","",
"Africa Eastern and Southern","AFE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1708650133067","22.8535803070594","23.7463223061415","23.6613210218574","25.2857068477577","26.6191146986354","26.0436104538079","24.7701010764906","25.4797420091085","23.9104983888432","30.2377444988439","32.3436088324211","29.7580319430003","29.227202406804","29.3109043997975","29.9102752277522","29.6742201339275","32.9859950102647","37.5444044237498","34.5294396840076","32.4201684448923","33.096198196407","33.1886303355737","33.7391927908316","32.0457123334207","30.5290573969083","28.2874887137454","27.0261761880342","28.4876960121185","27.168825116519","25.0803449755264",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.02479336623182","8.09716629841498","9.34959330590257","16.8639103340214","18.0555553858025","21.4128034842526","18.571428537415","14.2098270385479","15.2103564269331","14.9842272480072","11.9441077843955","16.1407951985264","18.1058497936081","14.7435907141683","14.8453612226592","14.2723007777117","14.8695654136106","14.8231754979077","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","20.2362645156488","20.1873764246961","17.1370444162569","17.09960830941","18.0988684146464","19.1498497754844","17.7360496627956","20.0355726185286","19.1132023528244","19.002731592207","16.4168189482417","18.2514046271896","17.2390996879326","19.5364432578274","20.4391001894204","25.9020444247402","26.4168081641479","25.4858053504861","26.1434944945947","22.9275311382435","23.2539526547746","17.4981358141026","15.0522499560168","13.082142449555","12.1398513865402","13.4121847846111","13.2740670689241","14.7492995592841","13.5750955777431","15.4478739077683","15.7399585412913","17.3374426065223","18.4418891304052","18.2753038733856","17.5553081661646","21.1528158356835","22.2469456622132","26.909333331317","25.8340547508077","20.2055355808693","21.3914961406483","27.1532413201488","24.2853924368255","27.5098107453118","20.3808367496355","21.1264447352299","20.5011768714095","24.7264196683621","22.9264148584639","24.1955381127534","24.9810312845045","27.550176221618","22.466929304912","21.1116378141739","21.0958558880149","20.2417481854473","20.230377759848","20.5917042724484","23.0860671971351","24.8499455232321","21.9122483983536",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8612782697202","74.946850958953","48.2167466955221","49.5798894342136","45.1995788304369","41.0646943598961","31.1572958281252","40.1542845215112","48.8896794334592","63.6888393251959","42.5805172359653","39.3125594147723","35.8599672014052","36.0648463922967","34.6378962589621","33.1339212916755","25.2456707179877","23.2527213968366","25.5418209299885","24.9447530291035","29.119309505018",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","34.9697653759195","33.27511148197","35.2284289698301","36.6703685610943","34.1692673931568","43.3387875873655","45.1576132001299","47.5794520503068","46.1731745895907","44.8296265467915","47.85935562815","49.0574825118736","54.9542146887506","52.1493333802176","49.8541657924919","48.5639550032469","51.9770317939697","47.572712860263","46.9573987095321","47.19484413802","44.5336151883802","45.8319636476989","46.624465948041","45.236190919583","44.9795617383162","37.8588314167656",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","21.4851691658188","20.2702735235918","20.6303869355589","23.5060127579577","23.4176953856478","30.8422247240857","30.7359079052171","36.4470043532602","38.5617419455126","35.5396124255246","34.3691637250673","39.8759104929127","43.6048052816077","41.1882334162878","39.4319040335943","34.819736743841","32.580823508655","31.4474889346732","33.1374079323795","36.4378076709999","33.7214162340625","40.0717409536141","33.5420290599444","31.2078655025244","28.552947737628","30.1645007413955","28.5541695513027","31.2218232861303","33.8694336334588","30.5609223497875","28.783135029254","32.2155413398311","32.1432750479809","34.8079453888324","36.2543832439471","36.5388198104271","35.9543984741204","39.9915742179168","41.0392193678646","42.4716145163076","37.8364997627214","36.3614167363213","37.1342086599528","38.1957539878771","39.8577454486016","42.793137855521","39.9671306678292","40.39477159081","38.1928576204052","38.5912001208563","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9675602523703","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","61.6351137521095","61.5893823753457","64.0028523992429","64.7281648949165","68.9314775001503","74.3508273325776","75.7446341195563","75.4094120309297","66.6806507416209","70.8506191914014","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632801213","7.32639415527493","5.71540643432856","6.32976917431398","6.48369977949523","7.37192799858578","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995287","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367662","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5667926798789","13.9693177780045","16.3258502050892","14.518503119375","13.5563249239753",
